Date,Subways: Total Estimated Ridership,Subways: % Change From Pre-Pandemic Equivalent Day,Buses: Total Estimated Ridership,Buses: % Change From Pre-Pandemic Equivalent Day,LIRR: Total Estimated Ridership,LIRR: % Change From 2019 Monthly Weekday/Saturday/Sunday Average,Metro-North: Total Estimated Ridership,Metro-North: % Change From 2019 Monthly Weekday/Saturday/Sunday Average,Access-A-Ride: Total Scheduled Trips,Access-A-Ride: % Change From Pre-Pandemic Equivalent Day,Bridges and Tunnels: Total Traffic,Bridges and Tunnels: % Change From Pre-Pandemic Equivalent Day
11/2/2021,2847722,-48.6%,1129948,-46.3%,147800,-49%,129300,-50%,22016,-27.8%,853432,-4.3%
11/1/2021,3035837,-47.9%,1401001,-39.4%,158400,-46%,131300,-51%,21387,-29.0%,898451,-2.2%
10/31/2021,1746744,-39.3%,649187,-34.5%,68700,-27%,66300,-18%,12233,-27.6%,824978,6.2%
10/30/2021,2044386,-39.0%,815199,-41.2%,76500,-32%,69300,-28%,12642,-30.6%,854656,-7.7%
10/29/2021,3256051,-45.3%,1418435,-37.3%,153300,-49%,122600,-54%,22477,-25.7%,963442,-2.8%
10/28/2021,3373245,-41.6%,1509836,-30.5%,159600,-45%,132200,-49%,24814,-14.5%,959835,8.3%
10/27/2021,3307363,-45.1%,1499669,-36.4%,155900,-46%,129900,-50%,24144,-24.8%,914494,-1.2%
10/26/2021,2707803,-54.7%,1231524,-47.0%,130100,-55%,104500,-60%,21220,-31.8%,738636,-19.1%
10/25/2021,3001841,-47.9%,1460382,-37.0%,158300,-46%,125800,-53%,21724,-24.8%,883887,-3.3%
10/24/2021,1601810,-27.3%,659161,-24.4%,69600,-26%,68200,-15%,12314,-28.1%,883371,13.7%
10/23/2021,2079695,-37.7%,846978,-39.4%,74700,-34%,82900,-14%,13556,-24.0%,914737,-3.9%
10/22/2021,3232067,-45.3%,1471052,-35.9%,145800,-51%,126600,-53%,22843,-24.3%,986548,-2.0%
10/21/2021,3275163,-46.5%,1476381,-38.0%,149900,-48%,127300,-51%,24007,-25.2%,948652,-3.7%
10/20/2021,3241475,-46.5%,1525608,-36.4%,155200,-46%,131100,-49%,24474,-25.3%,916246,-3.1%
10/19/2021,3185458,-45.1%,1510722,-33.3%,153400,-47%,130000,-50%,23403,-22.0%,899389,2.8%
10/18/2021,2989693,-47.3%,1461843,-36.2%,153700,-47%,127400,-52%,21454,-21.9%,889996,1.8%
10/17/2021,1631844,-33.0%,663944,-32.2%,74800,-20%,69700,-13%,12564,-32.6%,891527,6.9%
10/16/2021,2044396,-39.2%,856990,-38.0%,83400,-26%,74900,-22%,13307,-24.7%,896392,-6.1%
10/15/2021,3233854,-46.1%,1491099,-34.7%,150900,-50%,124700,-54%,23251,-22.8%,990940,-3.7%
10/14/2021,3248072,-46.6%,1527543,-34.0%,154600,-46%,126800,-51%,24144,-23.0%,952876,-1.7%
10/13/2021,3164655,-45.9%,1511356,-31.1%,151300,-47%,124800,-52%,24396,-21.6%,907632,-0.2%
10/12/2021,3110171,-47.1%,1514608,-35.6%,154600,-46%,128200,-51%,23848,-21.3%,910639,-0.4%
10/11/2021,2267498,-46.8%,1045865,-36.0%,131700,-55%,114500,-57%,16917,-11.1%,878443,2.9%
10/10/2021,1499551,-43.6%,601821,-44.2%,65600,-30%,59000,-27%,11794,-36.2%,806025,-10.0%
10/9/2021,2052746,-37.2%,856308,-37.9%,84600,-25%,82000,-15%,13634,-22.1%,919384,-2.2%
10/8/2021,3175133,-45.9%,1473912,-35.4%,153800,-49%,123600,-54%,23356,-21.7%,1001210,-3.0%
10/7/2021,3198045,-47.1%,1523168,-35.8%,150100,-48%,121400,-53%,24571,-21.9%,951212,-2.1%
10/6/2021,3147958,-47.1%,1532668,-36.6%,149600,-48%,123100,-52%,24678,-20.5%,913993,-1.3%
10/5/2021,3098187,-45.9%,1499767,-35.0%,150200,-48%,124700,-52%,23644,-22.2%,887129,1.0%
10/4/2021,2870940,-49.8%,1419155,-39.6%,152600,-47%,121300,-54%,21794,-25.2%,871945,-3.6%
10/3/2021,1577642,-37.4%,673253,-37.4%,74900,-20%,66800,-17%,12936,-32.8%,887540,2.0%
10/2/2021,2066222,-38.1%,883902,-37.2%,86600,-23%,80900,-16%,14145,-20.2%,923455,-1.3%
10/1/2021,3169206,-47.2%,1492942,-36.0%,140000,-53%,116200,-57%,23098,-22.7%,985786,-1.9%
9/30/2021,3153965,-47.6%,1516081,-34.3%,144800,-50%,121800,-53%,23555,-25.4%,953501,1.8%
9/29/2021,3070509,-48.4%,1513184,-37.4%,137500,-52%,120000,-54%,23323,-24.9%,886785,-4.2%
9/28/2021,2934542,-51.2%,1457421,-38.9%,141200,-51%,118300,-55%,21727,-27.8%,831192,-9.9%
9/27/2021,2880083,-50.0%,1489441,-36.4%,146200,-50%,121500,-54%,21209,-24.3%,881116,-4.6%
9/26/2021,1616915,-36.3%,657257,-39.9%,80100,-14%,64900,-19%,12034,-35.7%,895286,-2.5%
9/25/2021,2132211,-33.6%,872490,-37.4%,88500,-22%,81300,-16%,13909,-18.3%,953628,-1.8%
9/24/2021,3128041,-46.9%,1469705,-36.3%,142800,-52%,116700,-57%,21941,-23.5%,986694,-3.4%
9/23/2021,3022830,-50.2%,1483075,-37.4%,140100,-51%,115500,-56%,23031,-24.7%,915198,-6.0%
9/22/2021,3027925,-50.1%,1506211,-37.3%,139900,-51%,120100,-54%,23157,-27.2%,872883,-7.9%
9/21/2021,3025310,-49.7%,1505803,-36.8%,142700,-51%,123900,-52%,22399,-25.5%,860050,-6.8%
9/20/2021,2889759,-49.8%,1481676,-36.8%,148100,-49%,122100,-54%,21889,-21.9%,895109,-3.0%
9/19/2021,1598720,-38.9%,674024,-39.8%,69400,-26%,64100,-20%,12612,-32.6%,914623,-2.1%
9/18/2021,2017430,-39.3%,871175,-38.9%,77300,-31%,76300,-21%,14054,-20.5%,949178,-2.5%
9/17/2021,3034676,-49.3%,1456201,-37.4%,142100,-53%,119300,-56%,23282,-19.3%,982085,-3.2%
9/16/2021,2539853,-57.9%,1210069,-50.0%,128000,-56%,107700,-59%,20826,-32.8%,864413,-11.8%
9/15/2021,2993744,-50.1%,1503627,-38.2%,139900,-51%,116400,-55%,23966,-25.4%,904733,-4.2%
9/14/2021,3017947,-49.4%,1511145,-37.6%,144900,-50%,120500,-54%,23132,-24.7%,908024,-2.5%
9/13/2021,2858929,-49.7%,1441516,-39.1%,147800,-49%,122500,-54%,21898,-22.5%,914827,-1.5%
9/12/2021,1591655,-37.9%,694561,-37.4%,77000,-18%,59000,-27%,12239,-33.8%,899864,-2.1%
9/11/2021,1985273,-36.7%,870791,-37.1%,82200,-27%,65300,-32%,13070,-22.6%,917704,-2.3%
9/10/2021,2845820,-51.6%,1322430,-43.6%,150900,-50%,113500,-58%,23037,-21.9%,995486,-2.0%
9/9/2021,2708091,-54.5%,1249341,-48.0%,139500,-52%,111700,-57%,23653,-23.9%,911040,-6.2%
9/8/2021,2534847,-54.0%,1192895,-45.3%,135700,-53%,110900,-57%,22354,-26.6%,896020,-4.4%
9/7/2021,2238469,-57.9%,1102372,-48.1%,137600,-52%,113700,-56%,21143,-26.2%,902400,-5.2%
9/6/2021,1523354,-31.7%,733947,-22.6%,77900,-17%,51300,-81%,10077,5.5%,812884,9.6%
9/5/2021,1416893,-43.2%,618622,-42.9%,71000,-24%,45200,-44%,11931,-36.3%,832200,-7.2%
9/4/2021,1779743,-39.0%,834456,-37.7%,84800,-25%,57100,-41%,13382,-18.2%,927358,-1.5%
9/3/2021,2394842,-51.2%,1221668,-39.0%,139800,-53%,97900,-64%,22585,-15.5%,1014806,-1.9%
9/2/2021,1664178,-68.5%,1188941,-43.0%,105600,-63%,N/A,N/A,21179,-24.2%,851145,-16.7%
9/1/2021,2298999,-55.8%,1086148,-46.3%,118400,-59%,90600,-65%,20878,-28.1%,811053,-14.2%
8/31/2021,2537974,-51.3%,1246463,-39.4%,133600,-54%,99900,-62%,22724,-19.4%,936181,-0.5%
8/30/2021,2325695,-52.3%,1182908,-39.0%,131600,-55%,97100,-63%,19224,-24.3%,911105,-1.6%
8/29/2021,1400642,-43.9%,630281,-41.8%,68800,-26%,54100,-33%,11558,-38.3%,890505,-0.7%
8/28/2021,1661095,-43.0%,776489,-42.0%,69000,-39%,56200,-42%,12760,-22.0%,890293,-5.4%
8/27/2021,2392602,-51.3%,1147249,-42.7%,119700,-60%,90500,-66%,21211,-20.6%,973335,-5.9%
8/26/2021,2485132,-52.9%,1222996,-41.3%,122100,-58%,91000,-65%,22068,-21.1%,950534,-6.9%
8/25/2021,2503420,-51.8%,1236342,-38.9%,127400,-56%,93300,-64%,23351,-19.6%,957036,1.3%
8/24/2021,2467406,-52.7%,1234884,-40.0%,130600,-55%,98300,-62%,22679,-19.6%,942935,0.2%
8/23/2021,2056731,-57.8%,1032792,-46.7%,110000,-62%,84200,-68%,18809,-25.9%,821654,-11.2%
8/22/2021,745800,-68.0%,369246,-66.5%,27500,-71%,16100,-80%,7979,-55.0%,489334,-47.3%
8/21/2021,1716439,-40.8%,822340,-40.3%,72800,-35%,62000,-36%,13046,-21.0%,941331,-4.4%
8/20/2021,2460924,-49.6%,1183308,-37.7%,124600,-58%,99500,-63%,21451,-20.7%,969814,-4.2%
8/19/2021,2444495,-52.1%,1194375,-39.9%,117400,-59%,93000,-64%,21838,-22.8%,939085,-5.8%
8/18/2021,2450516,-51.7%,1210760,-38.8%,117200,-59%,97900,-62%,22715,-22.1%,917872,-3.6%
